,text,category,entity_type,entity_value,start_offset,end_offset,tags
55,i need assistance with canceling puchase 00004587345,cancel_order,order_id,00004587345,41.0,52.0,BLQZ
56,i dont want this article cancel order 732201349959,cancel_order,order_id,732201349959,38.0,50.0,BCLNQ
57,i dont want order 732201349959 i need help canceling it,cancel_order,order_id,732201349959,18.0,30.0,BCNQ
58,I need help cancelling order 370795561790,cancel_order,order_id,370795561790,29.0,41.0,B
59,i ordered some article how do i cancel purchase 00004587345,cancel_order,order_id,00004587345,48.0,59.0,BCILQ
60,help with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,BL
61,i can no longer afford order 732201349959,cancel_order,order_id,732201349959,29.0,41.0,BLNQ
62,I want assistance cfancelling purchase 370795561790,cancel_order,order_id,370795561790,39.0,51.0,BLZ
63,where to cancel purchase 00004587345?,cancel_order,order_id,00004587345,25.0,36.0,BIL
64,I don't know what to do to cancel purchase 00004587345,cancel_order,order_id,00004587345,43.0,54.0,BL
65,cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,20.0,35.0,BKL
66,could you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,34.0,45.0,BILP
67,problems with cancelling order 00004587345,cancel_order,order_id,00004587345,31.0,42.0,BM
68,what do I need to do to cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,40.0,55.0,BIL
69,what do I have to do to cancel purchase 00004587345?,cancel_order,order_id,00004587345,40.0,51.0,BIL
70,I'mtrying to cancel purchase 00004587345,cancel_order,order_id,00004587345,29.0,40.0,BLQZ
71,need assistance cancelling purchase 00123842,cancel_order,order_id,00123842,36.0,44.0,BLQ
72,I can no longer afford order 113542617735902,cancel_order,order_id,113542617735902,29.0,44.0,BLN
73,assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,30.0,42.0,BL
74,have a question about cancelling order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,BQ
75,can ya help me canceling purchase 370795561790,cancel_order,order_id,370795561790,34.0,46.0,BILQ
76,want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,30.0,42.0,BLQ
77,question about canceling purchase 370795561790,cancel_order,order_id,370795561790,34.0,46.0,BL
78,i cant pay for htis item help me cancel purchase 00123842,cancel_order,order_id,00123842,49.0,57.0,BCLNQZ
79,i can no longer pay for order 00123842 ohw could i cancel it,cancel_order,order_id,00123842,30.0,38.0,BCILNPQZ
80,i have a problem with canceling order 370795561790,cancel_order,order_id,370795561790,38.0,50.0,BQ
81,I want assistance to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,37.0,52.0,BL
82,I do not know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,37.0,49.0,BEL
83,need assistance to cancel order 732201349959,cancel_order,order_id,732201349959,32.0,44.0,BQ
84,I want help cacnelling purchase 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,BLZ
85,how do i cancel order 00004587345,cancel_order,order_id,00004587345,22.0,33.0,BIQ
86,need assistance to cancel purchase 00123842,cancel_order,order_id,00123842,35.0,43.0,BLQ
87,i want assistance canceling order 370795561790,cancel_order,order_id,370795561790,34.0,46.0,BQ
88,"I have ordered some products, cancel purchase 732201349959",cancel_order,order_id,732201349959,46.0,58.0,BCELM
89,i have a question about canceling order 00004587345,cancel_order,order_id,00004587345,40.0,51.0,BQ
90,"I do not want this item, help to cancel order 732201349959",cancel_order,order_id,732201349959,46.0,58.0,BCELN
91,cancel purhase 370795561790,cancel_order,order_id,370795561790,15.0,27.0,BLZ
92,cancel order 370795561790,cancel_order,order_id,370795561790,13.0,25.0,BK
93,want assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,BLQ
94,want assistance canceling purchase 00123842,cancel_order,order_id,00123842,35.0,43.0,BLQ
95,I have problems with cancelling purchase 370795561790,cancel_order,order_id,370795561790,41.0,53.0,BLM
96,can you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,32.0,43.0,BIL
97,I need help canceling purchase 00004587345,cancel_order,order_id,00004587345,31.0,42.0,BL
98,i bought some item where to cancel oredr 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,BCILQZ
99,i do not know how i could cancel order 00123842,cancel_order,order_id,00123842,39.0,47.0,BEPQ
100,I need help ot cancel purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,BLZ
101,help me to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,27.0,42.0,BL
102,order cancelation,cancel_order,,,,,BK
103,cancel purchase 00123842,cancel_order,order_id,00123842,16.0,24.0,BKL
104,can you help me canceling purchase 00123842?,cancel_order,order_id,00123842,35.0,43.0,BIL
105,assistance with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,35.0,50.0,BL
106,"I can no longer afford order 00004587345, could I cancel it?",cancel_order,order_id,00004587345,29.0,40.0,BCILNP
107,I don't know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BL
108,I can't pay for purchase 732201349959,cancel_order,order_id,732201349959,25.0,37.0,BLN
109,quedstion about cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BLZ
110,canceling order,cancel_order,,,,,BK
111,i have problems with canceling order 00123842,cancel_order,order_id,00123842,37.0,45.0,BMQ
112,I need help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31.0,46.0,BL
113,i need help to cancel order 00004587345,cancel_order,order_id,00004587345,28.0,39.0,BQ
114,I don't know how I could cancel purchase 370795561790,cancel_order,order_id,370795561790,41.0,53.0,BLP
115,where can i cancfel order 00004587345,cancel_order,order_id,00004587345,26.0,37.0,BIQZ
116,where can i cancfel order 113542617735902,cancel_order,order_id,113542617735902,26.0,41.0,BIQZ
117,can uhelp me cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,BILQ
118,cancelling order732201349959,cancel_order,order_id,732201349959,16.0,28.0,BKZ
119,I can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,BLN
120,cancelling purchase 370795561790,cancel_order,order_id,370795561790,20.0,32.0,BKL
121,i have a problem with cancelling purchase  00004587345,cancel_order,order_id,00004587345,43.0,54.0,BLQZ
122,could uhlep me to cancel purchase 732201349959,cancel_order,order_id,732201349959,34.0,46.0,BILPQZ
123,want help canceling purchase 370795561790,cancel_order,order_id,370795561790,29.0,41.0,BLQ
124,canceling order 370795561790,cancel_order,order_id,370795561790,16.0,28.0,BK
125,is it possible to cancel order 370795561790?,cancel_order,order_id,370795561790,31.0,43.0,BI
126,assistance with canceling order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,B
127,I want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32.0,44.0,BL
128,i do not know how i could cancel order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,BEPQ
129,what do I need to do to cancel purchase 370795561790?,cancel_order,order_id,370795561790,40.0,52.0,BIL
130,i dont want the last damn purchase i made can i cancel it,cancel_order,,,,,BCILNQW
131,hw can i cancel purchase 113542617735902,cancel_order,order_id,113542617735902,25.0,40.0,BILQZ
132,"I cannot afford this item, cancel order 113542617735902",cancel_order,order_id,113542617735902,40.0,55.0,BCELN
133,"I have bought some articles, cancel order 370795561790",cancel_order,order_id,370795561790,42.0,54.0,BCELM
134,have a problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,40.0,52.0,BLQ
135,help me to cancel purchase 370795561790,cancel_order,order_id,370795561790,27.0,39.0,BL
136,help me cancelling purchase 370795561790,cancel_order,order_id,370795561790,28.0,40.0,BL
137,canceling order 00004587345,cancel_order,order_id,00004587345,16.0,27.0,BK
138,canceling purchase 00123842,cancel_order,order_id,00123842,19.0,27.0,BKL
139,how could I cancel purchase 00004587345?,cancel_order,order_id,00004587345,28.0,39.0,BILP
140,I do not know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,BEL
141,assistance with cancelling order 370795561790,cancel_order,order_id,370795561790,33.0,45.0,B
142,help me canceling order 00004587345,cancel_order,order_id,00004587345,24.0,35.0,B
143,assistance canceling purchase 370795561790,cancel_order,order_id,370795561790,30.0,42.0,BL
144,assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,31.0,43.0,BL
145,cancel purchase 113542617735902,cancel_order,order_id,113542617735902,16.0,31.0,BL
146,awnt assistance canceling order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,BQZ
147,assistance with cancelling purchase 732201349959,cancel_order,order_id,732201349959,36.0,48.0,BL
148,problems with cancelling order 370795561790,cancel_order,order_id,370795561790,31.0,43.0,BM
149,I do not know how I can cancel order 00123842,cancel_order,order_id,00123842,37.0,45.0,BE
150,cancelling order 00004587345,cancel_order,order_id,00004587345,17.0,28.0,BK
151,I do not know how I can cancel purchase 732201349959,cancel_order,order_id,732201349959,40.0,52.0,BEL
152,want help casnceling purchase 00123842,cancel_order,order_id,00123842,30.0,38.0,BLQZ
153,i dont know what to do to cancel order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,BQ
154,need assistance to cancel order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,BQ
155,cancelling order 113542617735902,cancel_order,order_id,113542617735902,17.0,32.0,BK
156,i have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,BLQ
157,problems with canceling purchase 370795561790,cancel_order,order_id,370795561790,33.0,45.0,BLM
158,need assistance with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,BLQ
159,i no longer want order 00123842 could uhelp me cancel it,cancel_order,order_id,00123842,23.0,31.0,BCILNPQ
160,i need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,BLQ
161,I need help with canceling purchase 00004587345,cancel_order,order_id,00004587345,36.0,47.0,BL
162,I don't know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,36.0,48.0,BL
163,i have a question about canceling order 00123842,cancel_order,order_id,00123842,40.0,48.0,BQ
164,problems with cancelling purchase 732201349959,cancel_order,order_id,732201349959,34.0,46.0,BLM
165,can you help me cancel purchase 00123842?,cancel_order,order_id,00123842,32.0,40.0,BIL
166,I want help canceling puurchase 00004587345,cancel_order,order_id,00004587345,32.0,43.0,BLZ
167,cancel purhase 732201349959,cancel_order,order_id,732201349959,15.0,27.0,BLZ
168,have a problem with canceling order 732201349959,cancel_order,order_id,732201349959,36.0,48.0,BQ
169,cancel purhase 00123842,cancel_order,order_id,00123842,15.0,23.0,BLZ
170,need assistance canceling order 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,BQ
171,cancelling purchase 732201349959,cancel_order,order_id,732201349959,20.0,32.0,BKL
172,I need help with canceling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BL
173,i need help with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,BLQ
174,I want help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31.0,46.0,BL
175,problems with canceling purchase 00004587345,cancel_order,order_id,00004587345,33.0,44.0,BLM
176,i do not want thisgoddamn item i wanna cancel order 00123842,cancel_order,order_id,00123842,52.0,60.0,BCELNQWZ
177,"I purchased something, cancel order 00004587345",cancel_order,order_id,00004587345,36.0,47.0,BCL
178,I need to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,26.0,41.0,BL
179,I don't know how to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,BL
180,how could I cancel purchase 732201349959?,cancel_order,order_id,732201349959,28.0,40.0,BILP
181,i need help with cacneling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BLQZ
182,help me canceling purchase 732201349959,cancel_order,order_id,732201349959,27.0,39.0,BL
183,"I have purchased something, help me cancel the second order",cancel_order,,,,,BCEL
184,cancelling order 00123842,cancel_order,order_id,00123842,17.0,25.0,BK
185,i do not know how to cancel purchase 00123842,cancel_order,order_id,00123842,37.0,45.0,BELQ
186,cancelling order,cancel_order,,,,,BK
187,can you help me canceling purchase 00004587345 ?,cancel_order,order_id,00004587345,35.0,46.0,BILZ
188,canceling purchase 00004587345,cancel_order,order_id,00004587345,19.0,30.0,BKL
189,assistance to cancel order 00123842,cancel_order,order_id,00123842,27.0,35.0,B
190,i dont want my last purchase cancel order 732201349959,cancel_order,order_id,732201349959,42.0,54.0,BCNQ
191,quesdtion about canceling purchase 370795561790,cancel_order,order_id,370795561790,35.0,47.0,BLZ
192,need assistance with cancelling order 00123842,cancel_order,order_id,00123842,38.0,46.0,BQ
193,i ordered some product cancel purchase 370795561790,cancel_order,order_id,370795561790,39.0,51.0,BCLQ
194,I don'twant order 00123842,cancel_order,order_id,00123842,18.0,26.0,BNZ
195,problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,33.0,45.0,BL
196,i have a question about canceling order 732201349959,cancel_order,order_id,732201349959,40.0,52.0,BQ
197,i dont know how i can cancel purchase 113542617735902,cancel_order,order_id,113542617735902,38.0,53.0,BLQ
198,i do not know how to cancel order 370795561790,cancel_order,order_id,370795561790,34.0,46.0,BEQ
199,I do not want purchase 732201349959,cancel_order,order_id,732201349959,23.0,35.0,BELN
200,cancel order 00004587345,cancel_order,order_id,00004587345,13.0,24.0,BK
201,i want assistance canceloing purchase 370795561790,cancel_order,order_id,370795561790,38.0,50.0,BLQZ
202,I want help to cancel purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,BL
203,want assistance to cancel order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,BQ
204,can you help me cancelling order 732201349959?,cancel_order,order_id,732201349959,33.0,45.0,BI
205,cancel order 00123842,cancel_order,order_id,00123842,13.0,21.0,BK
206,I need assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,38.0,53.0,BL
207,need help to cancelp order 732201349959,cancel_order,order_id,732201349959,27.0,39.0,BQZ
208,cancel order 732201349959,cancel_order,order_id,732201349959,13.0,25.0,BK
209,I have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,BL
210,i need help tocancel order 00004587345,cancel_order,order_id,00004587345,27.0,38.0,BQZ
211,assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,BL
212,help me canceling purchase 113542617735902,cancel_order,order_id,113542617735902,27.0,42.0,BL
213,where do I cancel purchase 00004587345?,cancel_order,order_id,00004587345,27.0,38.0,BIL
214,I want assistance to cancel order 113542617735902,cancel_order,order_id,113542617735902,34.0,49.0,B
215,order cancellation,cancel_order,,,,,BK
216,i try to cancel purchase 00123842,cancel_order,order_id,00123842,25.0,33.0,BLQ
217,help me to cancel order 113542617735902,cancel_order,order_id,113542617735902,24.0,39.0,B
218,need assistance canceling order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,BQ
219,I want assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,37.0,49.0,BL
220,canceling order 00123842,cancel_order,order_id,00123842,16.0,24.0,BK
221,help me canceling purchase 00123842,cancel_order,order_id,00123842,27.0,35.0,BL
222,need to cancel order 370795561790,cancel_order,order_id,370795561790,21.0,33.0,BQ
223,where can i cancel purchase 00004587345,cancel_order,order_id,00004587345,28.0,39.0,BILQ
224,I have to cancel order 00004587345,cancel_order,order_id,00004587345,23.0,34.0,B
225,i need assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,BLQ
226,I need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,BL
227,"I cannot afford this item, can I cancel order 00004587345?",cancel_order,order_id,00004587345,46.0,57.0,BCEILN
228,cancel order 113542617735902,cancel_order,order_id,113542617735902,13.0,28.0,BK
229,acnceling order 00123842,cancel_order,order_id,00123842,16.0,24.0,BKZ
230,cancel order  732201349959,cancel_order,order_id,732201349959,14.0,26.0,BZ
231,i dont know how to cancel order 00123842,cancel_order,order_id,00123842,32.0,40.0,BQ
232,i need help to cancel order 370795561790,cancel_order,order_id,370795561790,28.0,40.0,BQ
233,need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,BLQ
234,where can I cancel purchase 370795561790?,cancel_order,order_id,370795561790,28.0,40.0,BIL
235,I need help cancelingpurchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,BLZ
236,need help to delete several items from order 370795561790,change_order,order_id,370795561790,45.0,57.0,BLMQ
237,can  i swap some items of order 732201349959,change_order,order_id,732201349959,32.0,44.0,BILMQZ
238,I want help to update purchase 00004587345,change_order,order_id,00004587345,31.0,42.0,BL
239,change order 00123842,change_order,order_id,00123842,13.0,21.0,BK
240,"I would like to modify order 113542617735902, I need help",change_order,order_id,113542617735902,29.0,44.0,BCLP
241,can i edit order 732201349959,change_order,order_id,732201349959,17.0,29.0,BILQ
242,I can't switch several products of order 00123842,change_order,order_id,00123842,41.0,49.0,BLMN
243,"I need to swap something of purchase 00123842, how to do it?",change_order,order_id,00123842,37.0,45.0,BCIL
244,I need help to swap some items of purchase 370795561790,change_order,order_id,370795561790,43.0,55.0,BLM
245,want assistance deleting  some items from order 370795561790,change_order,order_id,370795561790,48.0,60.0,BLMQZ
246,help switching something of purchase 370795561790,change_order,order_id,370795561790,37.0,49.0,BL
247,i cant remove several items from purchase 00004587345,change_order,order_id,00004587345,42.0,53.0,BLMNQ
248,correcting order 732201349959,change_order,order_id,732201349959,17.0,29.0,BL
249,I don't know what to do to swap an item of order 00123842,change_order,order_id,00123842,49.0,57.0,BL
250,"I want to edit purchase 00123842, could you help me?",change_order,order_id,00123842,24.0,32.0,BCILP
251,add something to order 370795561790,change_order,order_id,370795561790,23.0,35.0,BK
252,updating order 732201349959,change_order,order_id,732201349959,15.0,27.0,BL
253,add some items to order 732201349959,change_order,order_id,732201349959,24.0,36.0,BM
254,I cannot add an articld to order 370795561790,change_order,order_id,370795561790,33.0,45.0,BELNZ
255,I have problems with editing order 732201349959,change_order,order_id,732201349959,35.0,47.0,BLM
256,add something to order 00123842,change_order,order_id,00123842,23.0,31.0,BK
257,could you help me change something of order 370795561790?,change_order,order_id,370795561790,44.0,56.0,BIP
258,how to delete something from order 00004587345?,change_order,order_id,00004587345,35.0,46.0,BIL
259,how to edit order 370795561790,change_order,order_id,370795561790,18.0,30.0,BILQ
260,help me remove a product from purchase 113542617735902,change_order,order_id,113542617735902,39.0,54.0,BL
261,updating purchase 00123842,change_order,order_id,00123842,18.0,26.0,BL
262,need to add several products to order 370795561790,change_order,order_id,370795561790,38.0,50.0,BLMQ
263,help to add an article to order 732201349959,change_order,order_id,732201349959,32.0,44.0,BL
264,assistance with changing order 370795561790,change_order,order_id,370795561790,31.0,43.0,B
265,editing order 00123842,change_order,order_id,00123842,14.0,22.0,BL
266,what do i have to do to change a item of order 370795561790,change_order,order_id,370795561790,47.0,59.0,BIQZ
267,need help to switch an article of purchase 370795561790,change_order,order_id,370795561790,43.0,55.0,BLQ
268,need to update purchase 00004587345,change_order,order_id,00004587345,24.0,35.0,BLQ
269,wanna change an article of purchase 00004587345,change_order,order_id,00004587345,36.0,47.0,BLQ
270,how can i edt order 370795561790,change_order,order_id,370795561790,20.0,32.0,BILQZ
271,correct purchase 113542617735902,change_order,order_id,113542617735902,17.0,32.0,BKL
272,I have to switch a product of order 732201349959,change_order,order_id,732201349959,36.0,48.0,BL
273,add item to order 00123842,change_order,order_id,00123842,18.0,26.0,BK
274,want assistance swapping a article of order 00004587345,change_order,order_id,00004587345,44.0,55.0,BLQZ
275,remove something from order 00123842,change_order,order_id,00123842,28.0,36.0,BK
276,add something to order 732201349959,change_order,order_id,732201349959,23.0,35.0,BK
277,assistance to switch something of purchase 113542617735902,change_order,order_id,113542617735902,43.0,58.0,BL
278,I do not know how I can swap something of purchase 00123842,change_order,order_id,00123842,51.0,59.0,BEL
279,assistance to swap an item of order 113542617735902,change_order,order_id,113542617735902,36.0,51.0,BL
280,I need to add an article to order 370795561790,change_order,order_id,370795561790,34.0,46.0,BL
281,need help with adding something to order 113542617735902,change_order,order_id,113542617735902,41.0,56.0,BQ
282,is it possible to switch some items of order 732201349959?,change_order,order_id,732201349959,45.0,57.0,BILM
283,help me deleting some products from order 113542617735902,change_order,order_id,113542617735902,42.0,57.0,BLM
284,I want assistance to delete something from purchase 00123842,change_order,order_id,00123842,52.0,60.0,BL
285,i have to correct purchase 370795561790,change_order,order_id,370795561790,27.0,39.0,BLQ
286,help me to switch some items of order 370795561790,change_order,order_id,370795561790,38.0,50.0,BLM
287,i missed a product ij order 732201349959 how can i add it,change_order,order_id,732201349959,28.0,40.0,BCILQZ
288,I need information about editing order 370795561790,change_order,order_id,370795561790,39.0,51.0,BL
289,is it possible to remove a product from order 732201349959?,change_order,order_id,732201349959,46.0,58.0,BIL
290,want help switching several products of order 370795561790,change_order,order_id,370795561790,46.0,58.0,BLMQ
291,problem with switching something of order 732201349959,change_order,order_id,732201349959,42.0,54.0,BL
292,need help removing a product from order 00004587345,change_order,order_id,00004587345,40.0,51.0,BLQ
293,I want help to add an item to purchase 732201349959,change_order,order_id,732201349959,39.0,51.0,BL
294,can you help me updating order 113542617735902?,change_order,order_id,113542617735902,31.0,46.0,BIL
295,I try to change something of purchase 370795561790,change_order,order_id,370795561790,38.0,50.0,BL
296,can i delete something from order  370795561790,change_order,order_id,370795561790,35.0,47.0,BILQZ
297,how to change an article of order 00123842?,change_order,order_id,00123842,34.0,42.0,BIL
298,need help removing some articles frfom order 113542617735902,change_order,order_id,113542617735902,45.0,60.0,BLMQZ
299,i want assistance to switc some products of order 00123842,change_order,order_id,00123842,50.0,58.0,BLMQZ
300,i have made a mistake hopw could i correct purchase 00123842,change_order,order_id,00123842,52.0,60.0,BCILPQZ
301,how can I delete a product from order 00004587345?,change_order,order_id,00004587345,38.0,49.0,BIL
302,help me edit order 00004587345,change_order,order_id,00004587345,19.0,30.0,BL
303,help updating order 00123842,change_order,order_id,00123842,20.0,28.0,BL
304,could I change order 732201349959?,change_order,order_id,732201349959,21.0,33.0,BIP
305,problems with adding some articles to purchase 370795561790,change_order,order_id,370795561790,47.0,59.0,BLM
306,can i swap something off purchase 732201349959,change_order,order_id,732201349959,34.0,46.0,BILQZ
307,add item to order 113542617735902,change_order,order_id,113542617735902,18.0,33.0,BK
308,I want to swap several products of order 00004587345,change_order,order_id,00004587345,41.0,52.0,BLM
309,I want help updating purchase 00004587345,change_order,order_id,00004587345,30.0,41.0,BL
310,change order 370795561790,change_order,order_id,370795561790,13.0,25.0,BK
311,correct order 113542617735902,change_order,order_id,113542617735902,14.0,29.0,BKL
312,modify order 732201349959,change_order,order_id,732201349959,13.0,25.0,BL
313,I have a questioin about changing purchase 732201349959,change_order,order_id,732201349959,43.0,55.0,BLZ
314,I need to swap a bloody ptoduct of purchase 370795561790,change_order,order_id,370795561790,44.0,56.0,BLWZ
315,I can't switch a bloody item of order 113542617735902,change_order,order_id,113542617735902,38.0,53.0,BLNW
316,i need help changing a damn product of order 00123842,change_order,order_id,00123842,45.0,53.0,BLQW
